trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-11-01,Cariboo,CARIBOO,34,28,4,,,,23,,,1,6,5,,1,,,,5125114,150738.7,130000,61111.15,1300
2016-11-08,Cariboo,CARIBOO,21,21,5,1,1,,13,1,,,,,,,,,,4371800,208181,174000,56108,1740
2016-11-15,Cariboo,CARIBOO,26,23,4,1,2,1,14,1,,,,,,,1,2,,5337175,205276,189500,67753.5,1895
2016-11-22,Cariboo,CARIBOO,52,45,11,3,2,,27,1,,1,2,,,2,1,3,1,11292206,217157.8,207500,149522.06,2175
2016-11-01,Cariboo,FRASER-FORT GEORGE,55,50,11,1,,1,24,3,,10,3,,,3,2,,,12023014,218600.2,180000,129018.36,1445
2016-11-08,Cariboo,FRASER-FORT GEORGE,30,26,4,,,,21,,,1,1,1,,,1,1,1,7945616,264853.9,280445.9,107168.13,3583.88
2016-11-15,Cariboo,FRASER-FORT GEORGE,38,37,5,,,2,29,1,,,1,1,,,,,,9864438,259590.5,231475,123225,2195
2016-11-22,Cariboo,FRASER-FORT GEORGE,57,55,14,1,2,,31,5,1,1,,,,,,2,,12767214,223986.2,210000,147619.07,1800
2016-11-01,Kootenay,CENTRAL KOOTENAY,26,22,3,,1,,13,3,,2,1,1,,,2,1,,6546354,251782.8,207500,88417.43,2175
2016-11-08,Kootenay,CENTRAL KOOTENAY,17,17,2,1,1,,11,,,2,,,,,,,,4254700,250276.5,210000,50387,1250
2016-11-15,Kootenay,CENTRAL KOOTENAY,33,32,4,2,1,,22,2,,1,,,,,,1,,8323305,252221.4,248000,98038.05,2800
2016-11-22,Kootenay,CENTRAL KOOTENAY,50,49,9,,,,35,3,,2,1,1,,,,,,11277163,225543.3,222850,153893.63,2457
2016-11-01,Kootenay,EAST KOOTENAY,50,44,2,1,,2,28,11,,,,,,,4,2,,12244505,244890.1,208500,166398.24,2170
2016-11-08,Kootenay,EAST KOOTENAY,43,40,11,,,4,16,8,,1,2,1,,1,1,,,10902086,253536.9,236000,150554.86,2720
2016-11-15,Kootenay,EAST KOOTENAY,45,40,4,1,1,,16,17,,1,2,2,,,2,1,,28366271,630361.6,240400,655965.71,2808
2016-11-22,Kootenay,EAST KOOTENAY,84,64,5,1,2,,39,16,,1,15,14,,1,1,1,3,31538145,375454.1,252500,537499.29,3050
2016-11-01,Kootenay,KOOTENAY BOUNDARY,19,19,1,,,,15,3,,,,,,,,,,3137500,165131.6,140000,37415,1400
2016-11-08,Kootenay,KOOTENAY BOUNDARY,13,12,,,,,11,,,1,1,1,,,,,,2011121,154701.6,70000,28860.21,700
2016-11-15,Kootenay,KOOTENAY BOUNDARY,16,16,4,1,1,,9,1,,,,,,,,,,3826900,239181.2,271000,50594,3420
2016-11-22,Kootenay,KOOTENAY BOUNDARY,26,25,1,,,,20,4,,,1,,,1,,,,3482000,133923.1,122000,38669.99,1220
2016-11-01,Mainland/Southwest,FRASER VALLEY,158,152,8,3,4,1,57,46,,33,4,2,2,,,1,1,66364917,420031.1,373450,903348.33,4420
2016-11-08,Mainland/Southwest,FRASER VALLEY,103,103,2,,1,,48,39,1,12,,,,,,,,48089514,466888.5,378000,709805.81,4760
2016-11-15,Mainland/Southwest,FRASER VALLEY,173,165,5,,5,1,79,58,1,16,3,,,3,4,1,,87181175,503937.4,390000,1396666.81,4600
2016-11-22,Mainland/Southwest,FRASER VALLEY,436,429,18,2,4,4,193,118,6,84,5,5,,,2,,,206699411,474081.2,401400,3273803.11,5499
2016-11-01,Mainland/Southwest,METRO VANCOUVER,1023,1004,10,3,2,9,262,367,15,336,17,6,10,1,1,,1,879992160,860207.4,500840,20181415.43,7500
2016-11-08,Mainland/Southwest,METRO VANCOUVER,866,853,7,,2,3,160,264,3,414,13,3,4,6,,,,625611490,722415.1,497178.9,14139823.05,6800
2016-11-15,Mainland/Southwest,METRO VANCOUVER,954,928,7,9,2,9,299,518,8,76,23,5,15,3,,,3,920013567,964374.8,624491.2,22459806.23,10389
2016-11-22,Mainland/Southwest,METRO VANCOUVER,2277,2228,20,4,5,17,637,1065,8,472,46,19,17,10,,2,1,2134142303,937260.6,562000,52526410.56,9200
2016-11-01,Mainland/Southwest,SQUAMISH-LILLOOET,51,38,5,,,,9,15,7,2,10,,8,2,3,,,38104215,747141.5,467100,680577.83,7342
2016-11-08,Mainland/Southwest,SQUAMISH-LILLOOET,32,29,1,,,,11,12,3,2,,,,,3,,,19936045,623001.4,475000,361953.94,7500
2016-11-15,Mainland/Southwest,SQUAMISH-LILLOOET,61,54,,1,,,17,28,7,1,4,2,,2,3,,,47693615,781862.5,575000,872084.41,9500
2016-11-22,Mainland/Southwest,SQUAMISH-LILLOOET,103,98,5,1,2,,30,35,5,20,,,,,5,,,85360857,828746.2,492500,1610601.25,7850
2016-11-01,Mainland/Southwest,SUNSHINE COAST,17,17,1,1,,,8,5,,2,,,,,,,,8165500,480323.5,415000,131860,6300
2016-11-08,Mainland/Southwest,SUNSHINE COAST,18,16,,,,,10,4,,2,,,,,2,,,9255905,514216.9,462700,147795.38,7254
2016-11-15,Mainland/Southwest,SUNSHINE COAST,13,12,1,,1,,8,1,,1,,,,,,,1,6551088,503929.9,411688.5,105021.77,6233.77
2016-11-22,Mainland/Southwest,SUNSHINE COAST,29,28,4,,,,18,4,,2,1,,,1,,,,14603306,503562.3,452381,216303.75,6134
2016-11-01,Nechako & North Coast,BULKLEY-NECHAKO,21,20,6,,,,13,1,,,,,,,,1,,2708640,128982.8,78000,28958.76,700
2016-11-08,Nechako & North Coast,BULKLEY-NECHAKO,12,12,3,,,,7,,,2,,,,,,,,2036100,169675,130908.7,24597.82,1309.085
2016-11-15,Nechako & North Coast,BULKLEY-NECHAKO,10,7,2,1,,,4,,,,2,1,,1,,1,,2810875,281087.5,161625,42685,1616.25
2016-11-22,Nechako & North Coast,BULKLEY-NECHAKO,24,23,11,,,,9,1,,2,,,,,,,1,4695170,195632.1,187163.9,60581.7,1871.64
2016-11-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,18,18,3,,,,15,,,,,,,,,,,3493160,194064.4,206500,39713.78,1777.5
2016-11-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,23,22,7,1,,,14,,,,,,,,1,,,3959400,172147.8,143000,47129,1430
2016-11-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,14,14,,,,,11,3,,,,,,,,,,2130485,152177.5,102500,27363.85,1025
2016-11-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,32,31,,,,,29,2,,,1,1,,,,,,6260300,195634.4,174750,80163,1747.5
2016-11-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,32,28,4,,1,,19,2,,2,1,1,,,,3,,10184080,318252.5,289900,138329.85,2357.5
2016-11-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,27,22,3,,,,15,4,,,1,,,1,,4,,7166316,265419.1,225000,105737.7,2500
2016-11-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,34,20,2,,,,18,,,,6,6,,,,8,,15060532,442956.8,239950,274378.01,2380.25
2016-11-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,41,38,6,,,,24,3,,5,2,2,,,,1,,11204213,273273.5,229900,161663.27,2598
2016-11-01,Thompson/Okanagan,CENTRAL OKANAGAN,150,143,8,,2,,69,42,3,19,5,2,1,2,2,,,78937691,526251.3,434250,1254397.57,5784
2016-11-08,Thompson/Okanagan,CENTRAL OKANAGAN,91,89,2,,,1,37,33,1,15,1,,1,,1,,,41646329,457652,370000,662109.89,4998
2016-11-15,Thompson/Okanagan,CENTRAL OKANAGAN,184,178,5,,2,1,76,47,1,46,2,1,1,,1,2,1,94958490,516078.8,346250,1623102.85,4812.5
2016-11-22,Thompson/Okanagan,CENTRAL OKANAGAN,255,242,9,2,1,1,122,85,,22,11,2,4,5,1,1,,129872216,509302.8,450000,1960310.12,6400
2016-11-01,Thompson/Okanagan,COLUMBIA SHUSWAP,38,37,3,2,,,20,9,,3,1,1,,,,,,11026199,290163.1,266000,153283.98,3320
2016-11-08,Thompson/Okanagan,COLUMBIA SHUSWAP,30,27,1,,3,,16,5,,2,,,,,,3,,10219496,340649.9,333000,142873.67,4600
2016-11-15,Thompson/Okanagan,COLUMBIA SHUSWAP,41,40,3,,,,29,4,,4,,,,,1,,,13487760,328969.8,323000,187076.55,4400
2016-11-22,Thompson/Okanagan,COLUMBIA SHUSWAP,47,45,5,1,1,1,28,5,,4,2,1,,1,,,,14091202,299812.8,283000,187330.5,3500
2016-11-01,Thompson/Okanagan,NORTH OKANAGAN,66,62,5,1,1,,40,10,,5,2,1,,1,2,,,35222617,533676,367250,610857.84,5010
2016-11-08,Thompson/Okanagan,NORTH OKANAGAN,38,36,6,,2,,17,9,,2,1,,,1,,1,,16291609,428726.5,359950,242870.37,4580
2016-11-15,Thompson/Okanagan,NORTH OKANAGAN,75,69,2,1,1,,43,16,2,4,3,,3,,2,1,,22212204,296162.7,290000,294150.05,3440
2016-11-22,Thompson/Okanagan,NORTH OKANAGAN,123,115,14,,4,,70,23,,4,,,,,3,4,1,49384029,401496.2,336000,749511.66,4500
2016-11-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,58,51,4,,1,1,25,15,,5,,,,,5,1,1,17158174,295830.6,241201.5,218133.35,2469
